Trial,Condition,Correct,RT
806,1,1,0.383
807,2,1,0.948
808,2,1,0.444
809,1,1,0.575
810,1,1,0.811
811,1,1,0.744
812,1,1,0.834
813,2,1,0.601
814,1,0,0.625
815,2,1,0.391
816,1,1,0.426
817,1,1,0.527
818,1,0,0.364
819,1,1,0.366
820,2,1,0.381
821,1,0,0.727
822,1,1,0.709
823,2,1,0.39
824,1,1,0.354
825,2,1,0.565
826,2,1,0.396
827,2,1,0.459
828,1,1,0.367
829,2,1,0.727
830,2,1,0.408
831,2,1,0.378
832,1,1,0.469
833,2,1,0.446
834,1,0,0.356
835,1,1,0.398
836,2,1,0.369
837,2,1,0.39
838,1,0,0.458
839,2,1,0.498
840,2,1,0.1
841,2,1,0.457
842,2,0,0.428
843,1,1,0.485
844,1,1,0.587
845,1,1,0.338
846,1,1,0.53
847,2,1,0.383
848,1,0,0.454
849,2,1,0.661
850,2,1,0.427
851,2,1,0.488
852,2,1,0.402
853,1,1,0.492
854,2,1,0.413
855,1,1,0.391
856,1,1,0.44
857,2,0,0.368
858,1,1,0.354
859,1,0,0.481
860,2,1,0.393
861,1,0,0.364
862,1,1,0.439
863,2,1,0.484
864,2,1,0.575
865,1,1,1.122
866,2,0,0.689
867,2,1,0.416
868,1,1,0.594
869,1,0,0.655
870,2,1,0.581
871,2,1,0.521
872,1,0,1.225
873,2,0,0.672
874,1,1,0.383
875,2,1,0.464
876,2,1,0.355
877,2,1,0.572
878,1,0,0.451
879,2,1,0.512
880,1,0,0.446
881,2,1,0.468
882,1,1,0.511
883,1,0,0.818
884,2,1,0.594
885,1,1,0.396
886,2,1,0.394
887,1,1,0.478
888,1,1,0.443
889,1,1,0.434
890,2,1,0.405
891,1,1,0.458
892,2,1,0.351
893,2,1,0.383
894,2,1,0.363
895,1,0,0.463
896,1,1,0.396
897,2,1,0.519
898,2,1,0.357
899,2,1,0.582
900,1,0,0.36
901,1,1,0.342
902,2,1,0.416
903,1,1,0.585
904,2,0,0.422
905,1,1,0.598
906,1,1,0.486
907,1,0,0.653
908,2,1,0.368
909,1,1,0.579
910,2,1,0.464
911,1,1,0.457
912,1,1,0.438
913,1,0,0.487
